Operation,Max(MiB),Min(MiB),Mean(MiB),StdDev,Max(OPs),Min(OPs),Mean(OPs),StdDev,Mean(s),Test#,#Tasks,tPN,reps,fPP,reord,reordoff,reordrand,seed,segcnt,blksiz,xsize,aggs(MiB),API,RefNum,Used(GiB)
write,72.81,72.81,72.81,0.00,18638.08,18638.08,18638.08,0.00,7.03248,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,18.1558
write,65.97,65.97,65.97,0.00,16888.91,16888.91,16888.91,0.00,7.76083,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,18.8541
write,66.59,66.59,66.59,0.00,17048.17,17048.17,17048.17,0.00,7.68833,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,18.8541
write,65.90,65.90,65.90,0.00,16869.62,16869.62,16869.62,0.00,7.76971,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,19.5524
write,69.74,69.74,69.74,0.00,17853.84,17853.84,17853.84,0.00,7.34139,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,20.2507
write,67.56,67.56,67.56,0.00,17294.85,17294.85,17294.85,0.00,7.57867,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,20.949
write,66.74,66.74,66.74,0.00,17084.26,17084.26,17084.26,0.00,7.67209,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,20.949
write,71.79,71.79,71.79,0.00,18379.01,18379.01,18379.01,0.00,7.13161,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,21.6473
write,65.55,65.55,65.55,0.00,16780.06,16780.06,16780.06,0.00,7.81118,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,22.3456
write,65.26,65.26,65.26,0.00,16707.27,16707.27,16707.27,0.00,7.84521,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,22.3456
write,69.04,69.04,69.04,0.00,17674.92,17674.92,17674.92,0.00,7.41571,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,23.0439
write,67.64,67.64,67.64,0.00,17316.30,17316.30,17316.30,0.00,7.56928,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,23.7422
write,65.92,65.92,65.92,0.00,16875.55,16875.55,16875.55,0.00,7.76698,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,24.4405
write,69.83,69.83,69.83,0.00,17876.66,17876.66,17876.66,0.00,7.33202,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,24.4405
write,72.04,72.04,72.04,0.00,18442.15,18442.15,18442.15,0.00,7.10720,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,25.1388
write,67.76,67.76,67.76,0.00,17346.75,17346.75,17346.75,0.00,7.55600,0,16,16,1,0,0,1,0,0,8192,4096,4096,512.0,POSIX,0,25.8371
